mbid;originalhash;myhash;themhash;status
Settlements.Settlement.name.town_A4;-166006554;-166006554;765796408;UseMy
Settlements.Settlement.name.town_A5;-1427359627;-1427359627;-1827712144;UseMy
Settlements.Settlement.name.town_A6;-54651288;-54651288;-1125597397;UseMy
Settlements.Settlement.name.town_A7;1326408208;1326408208;-2035905229;UseMy
Settlements.Settlement.name.town_A8;1074641777;1074641777;3769295;UseMy
Settlements.Settlement.name.town_B1;775473400;775473400;1930617764;UseMy
Settlements.Settlement.name.town_B2;2053591721;2053591721;2060978255;UseMy
Settlements.Settlement.name.town_B3;-1269846849;-1269846849;-286614524;UseMy
Settlements.Settlement.name.town_B4;-2498922;-2498922;-58441100;UseMy
Settlements.Settlement.name.town_B5;1407883733;1407883733;358267905;UseMy
Settlements.Settlement.name.town_EN1;-1080200326;-1080200326;-1467573964;UseMy
Settlements.Settlement.name.town_EN2;318551538;318551538;-730718712;UseMy
Settlements.Settlement.name.town_EN3;2130276171;2130276171;-807463854;UseMy
Settlements.Settlement.name.town_EN4;599552146;599552146;-977407564;UseMy
Settlements.Settlement.name.town_EN5;1608737584;1608737584;-1284067575;UseMy
Settlements.Settlement.name.town_EN6;-449496674;-449496674;1314868409;UseMy
Settlements.Settlement.name.town_ES1;2115288466;2115288466;-178141717;UseMy
Settlements.Settlement.name.town_ES2;-1972022122;-1972022122;782218348;UseMy
Settlements.Settlement.name.town_ES3;-1174086771;-1174086771;1162488948;UseMy
Settlements.Settlement.name.town_ES4;-803479568;-803479568;864956216;UseMy
Settlements.Settlement.name.town_ES5;1507728607;1507728607;853316331;UseMy
Settlements.Settlement.name.town_ES6;-1240691128;-1240691128;-1397660779;UseMy
Settlements.Settlement.name.town_ES7;1125857305;1125857305;-1664361660;UseMy
Settlements.Settlement.name.town_EW1;-619313158;-619313158;-386225761;UseMy
Settlements.Settlement.name.town_EW2;777947577;777947577;-124064585;UseMy
Settlements.Settlement.name.town_EW3;-1633744285;-1633744285;-838552004;UseMy
Settlements.Settlement.name.town_EW4;1271990159;1271990159;467975962;UseMy
Settlements.Settlement.name.town_EW5;406927484;406927484;17083330;UseMy
Settlements.Settlement.name.town_EW6;-851214811;-851214811;1969004681;UseMy
Settlements.Settlement.name.town_K1;-1013190366;-1013190366;1794512166;UseMy
Settlements.Settlement.name.town_K2;2068439869;2068439869;72553713;UseMy
Settlements.Settlement.name.town_K3;-1779163002;-1779163002;1881599346;UseMy
Settlements.Settlement.name.town_K4;1347791574;1347791574;1334626120;UseMy
Settlements.Settlement.name.town_K5;1145750759;1145750759;-1035895591;UseMy
Settlements.Settlement.name.town_K6;-2034630401;-2034630401;2146222076;UseMy
Settlements.Settlement.name.town_S1;-1250658088;-1250658088;-964419178;UseMy
Settlements.Settlement.name.town_S2;-2124887581;-2124887581;-1283027863;UseMy
Settlements.Settlement.name.town_S3;1420894375;1420894375;807985762;UseMy
Settlements.Settlement.name.town_S4;-1959759104;-1959759104;1731150273;UseMy
Settlements.Settlement.name.town_S5;211299424;211299424;-166598726;UseMy
Settlements.Settlement.name.town_S6;1675755455;1675755455;-940670846;UseMy
Settlements.Settlement.name.town_S7;-1443117654;-1443117654;504449556;UseMy
Settlements.Settlement.name.town_V1;1081296286;1081296286;-1979220210;UseMy
Settlements.Settlement.name.town_V2;-383540460;-383540460;-56665528;UseMy
Settlements.Settlement.name.town_V3;-2075067712;-2075067712;2103659601;UseMy
Settlements.Settlement.name.town_V5;-1378837511;-1378837511;1583134292;UseMy
Settlements.Settlement.name.town_V6;-760039394;-760039394;-1534418575;UseMy
Settlements.Settlement.name.town_V7;1306353922;1306353922;1122092791;UseMy
Settlements.Settlement.name.town_V8;1810306153;1810306153;304543418;UseMy
Settlements.Settlement.name.town_V9;1542673672;1542673672;1675464113;UseMy
Settlements.Settlement.name.village_A1_1;382755852;382755852;-1145800665;UseMy
Settlements.Settlement.name.village_A1_2;696030474;696030474;-1542659208;UseMy
Settlements.Settlement.name.village_A1_4;990539214;990539214;-201361160;UseMy
Settlements.Settlement.name.village_A2_2;610756118;-383504485;-1631686998;UseMy
Settlements.Settlement.name.village_A2_3;-1079986268;-1079986268;-806940689;UseMy
Settlements.Settlement.name.village_A3_1;-1260935132;-1260935132;-2055412072;UseMy
Settlements.Settlement.name.village_A3_3;-283106982;-283106982;-522891575;UseMy
Settlements.Settlement.name.village_A4_1;-2077728535;-2077728535;-1138828807;UseMy
Settlements.Settlement.name.village_A4_2;-1756750092;1616820184;-888722748;UseMy
Settlements.Settlement.name.village_A4_4;-555122521;-555122521;1782566146;UseMy
Settlements.Settlement.name.village_A5_1;-491592876;-491592876;380192008;UseMy
Settlements.Settlement.name.village_A5_2;1319513870;1066837969;2028131187;UseMy
Settlements.Settlement.name.village_A5_3;1330118638;-380946999;1441653900;UseMy
Settlements.Settlement.name.village_A6_1;809077539;809077539;-580193826;UseMy
Settlements.Settlement.name.village_A6_2;59993459;59993459;44059803;UseMy
Settlements.Settlement.name.village_A6_3;1484744949;1484744949;-998510240;UseMy
Settlements.Settlement.name.village_A6_4;247862400;247862400;1542992524;UseMy
Settlements.Settlement.name.village_A7_2;-390131428;-390131428;-1302623327;UseMy
Settlements.Settlement.name.village_A7_3;-692967784;-692967784;1079100392;UseMy
Settlements.Settlement.name.village_A7_4;1971990240;1971990240;-1390007722;UseMy
Settlements.Settlement.name.village_A8_1;-81839166;-81839166;-406646564;UseMy
Settlements.Settlement.name.village_A8_2;734015783;734015783;-1868925105;UseMy
Settlements.Settlement.name.village_B1_1;1991014806;1991014806;-691379488;UseMy
Settlements.Settlement.name.village_B1_2;-220773747;-220773747;-1884074602;UseMy
Settlements.Settlement.name.village_B1_3;1333498728;1333498728;766790429;UseMy
Settlements.Settlement.name.village_B1_4;-1630976102;-1630976102;-547991137;UseMy
Settlements.Settlement.name.village_B2_1;-276724021;-276724021;1520283618;UseMy
Settlements.Settlement.name.village_B2_2;-1985548811;-1985548811;26476426;UseMy
Settlements.Settlement.name.village_B2_3;-870517849;-870517849;1428390902;UseMy
Settlements.Settlement.name.village_B3_1;-708694375;-708694375;1227110266;UseMy
Settlements.Settlement.name.village_B3_2;-1187782545;-1187782545;1757761538;UseMy
Settlements.Settlement.name.village_B3_3;-197677656;-197677656;-188345770;UseMy
Settlements.Settlement.name.village_B4_1;851178748;851178748;1568721149;UseMy
Settlements.Settlement.name.village_B4_2;890541474;890541474;-2091411169;UseMy
Settlements.Settlement.name.village_B4_3;548592959;606020909;-2145802214;UseMy
Settlements.Settlement.name.village_B4_4;-1040941688;-1040941688;-611574970;UseMy
Settlements.Settlement.name.village_B5_1;580825705;580825705;1595382712;UseMy
Settlements.Settlement.name.village_B5_2;751312111;751312111;1842566269;UseMy
Settlements.Settlement.name.village_B5_3;2084644252;548592959;-509353372;UseMy
Settlements.Settlement.name.village_EN1_1;-674817945;-674817945;1493064676;UseMy
Settlements.Settlement.name.village_EN1_2;-547932928;-547932928;1154683786;UseMy
Settlements.Settlement.name.village_EN1_3;802166395;802166395;-524560134;UseMy
Settlements.Settlement.name.village_EN2_1;-1881330987;-1881330987;1149195118;UseMy
Settlements.Settlement.name.village_EN2_2;837752371;837752371;-1947276014;UseMy
